Contratiempo;8.1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Ah-ga-ssi;8.1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
Mommy;8.1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Haider;8.1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Logan;8.1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Room;8.1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Relatos salvajes;8.1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Soul;8.1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kis Uykusu;8.1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PK;8.1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
OMG: Oh My God!;8.1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
The Grand Budapest Hotel;8.1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gone Girl;8.1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Ôkami kodomo no Ame to Yuki;8.1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Hacksaw Ridge;8.1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Inside Out;8.1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Barfi!;8.1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
12 Years a Slave;8.1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Rush;8.1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ford v Ferrari;8.1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spotlight;8.1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Song of the Sea;8.1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kahaani;8.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Zindagi Na Milegi Dobara;8.1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prisoners;8.1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Mad Max: Fury Road;8.1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
A Wednesday;8.1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
